model,train_time_s,test_time_s,accuracy,precision_macro,recall_macro,f1_macro,auc_ovr_macro,saved_model_path
RandomForest,1.7753901481628418,0.04888033866882324,0.9117911791179117,0.9253498566439744,0.8856169366429285,0.9007501293801111,0.987618314105551,models\RandomForest_final.joblib
KNN,0.035919904708862305,0.3647921085357666,0.9072907290729073,0.9205049003292529,0.9005144877921897,0.9079086469631543,0.9465952544202288,models\KNN_final.joblib
LogisticRegression,2.4784271717071533,0.004608631134033203,0.891989198919892,0.8734858540926929,0.897204216971659,0.8827963701775865,0.9706024771475945,models\LogisticRegression_final.joblib
SVM,2.7994139194488525,0.06431078910827637,0.8838883888388839,0.8736580741222667,0.8902086209883748,0.8809986726277399,0.9567385891752569,models\SVM_final.joblib
DecisionTree,0.33649182319641113,0.0027742385864257812,0.7794779477947795,0.7739217654187314,0.7921292949336726,0.776083196078369,0.8878056304657171,models\DecisionTree_final.joblib
GaussianNB,0.15152335166931152,0.028803586959838867,0.7758775877587759,0.6968388202400585,0.7999037442265897,0.7169685664178239,0.9361283681370072,models\GaussianNB_final.joblib
